# CABB 4D8710D5CABB  room fd00:0:3:411:1:200::/88  Unit tz=Asia/Shanghai(UTC+8)
# window 17:44:00-18:02:30 local | source: PG monitor_stream(radar.track) + event_log
# pose: 1=Walking 3=Sitting 4=Standing 7=SuspectedSitOnGround 8=SitOnGround | note: walking / SITONGROUND / Z>80
# ----------------------------------------------------------------------
17:48:50  pose4  z0    xy( -80,  30) tid1   
17:48:51  pose4  z0    xy( -80,  30) tid1   
17:48:52  pose4  z0    xy( -80,  30) tid1   
17:48:53  pose4  z0    xy( -80,  30) tid1   
17:48:55  pose4  z0    xy( -80,  30) tid1   
17:48:55  pose4  z0    xy( -80,  30) tid1   
17:48:56  pose4  z0    xy( -80,  30) tid1   
17:48:57  pose4  z0    xy( -80,  30) tid1   
17:48:58  pose4  z0    xy( -80,  30) tid1   
17:48:59  pose4  z0    xy( -80,  30) tid1   
17:49:00  pose4  z0    xy( -80,  30) tid1   
17:49:01  pose4  z89   xy( -70,  30) tid1   Z>80
17:49:02  pose4  z118  xy( -90,  40) tid1   Z>80
17:49:03  pose4  z0    xy(-100,  30) tid1   
17:49:04  pose4  z0    xy(-100,  30) tid1   
17:49:06  pose4  z0    xy(-100,  30) tid1   
17:49:06  pose4  z0    xy(-100,  30) tid1   
17:49:08  pose4  z0    xy(-100,  30) tid1   
17:49:08  pose4  z0    xy(-100,  30) tid1   
17:49:09  pose4  z0    xy(-100,  30) tid1   
17:49:10  pose4  z0    xy(-100,  30) tid1   
17:49:11  pose4  z0    xy(-100,  30) tid1   
17:49:12  pose4  z0    xy(-100,  30) tid1   
17:49:13  pose4  z0    xy(-100,  30) tid1   
17:49:14  pose4  z0    xy(-100,  30) tid1   
17:49:15  pose4  z0    xy(-100,  30) tid1   
17:49:16  pose4  z0    xy(-100,  30) tid1   
17:49:17  pose4  z0    xy(-100,  30) tid1   
17:49:18  pose4  z0    xy(-100,  30) tid1   
17:49:19  pose4  z0    xy(-100,  30) tid1   
17:49:20  pose4  z0    xy(-100,  30) tid1   
17:49:22  pose4  z0    xy(-100,  30) tid1   
17:49:22  pose4  z0    xy(-100,  30) tid1   
