bj	topic_type	category	data_value
2026-05-05 06:47:21.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -50, "position_z": 120, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:22.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -30, "position_z": 102, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:23.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 10, "position_y": -30, "position_z": 98, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:24.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 20, "position_y": -30, "position_z": 96, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:25.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -10, "position_z": 100, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:26.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -30, "position_z": 98, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:27.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -40, "position_z": 112, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:28.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -60, "position_z": 120, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:29.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -40, "position_z": 116, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:30.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 101, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:31.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -30, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:32.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -40, "position_z": 122, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:33.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 99, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:34.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -30, "position_z": 109, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:35.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -20, "position_z": 109, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:36.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -20, "position_z": 95, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:37.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -20, "position_z": 87, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:38.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -20, "position_z": 103, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:39.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -10, "position_z": 99, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:40.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": 20, "position_z": 116, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:41.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -20, "position_y": 0, "position_z": 126, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:42.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -30, "position_z": 129, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:43.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -50, "position_z": 126, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:44.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -20, "position_z": 117, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:45.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 91, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:46.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 30, "position_y": -10, "position_z": 91, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:47.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 70, "position_y": -10, "position_z": 91, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:48.000	monitor	track	[{"pose": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 0, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:49.000	event	number_people	[{"track_id": 10, "event_since": 1777934869109, "event_status": "start", "number_people": 2}]
2026-05-05 06:47:49.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:49.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -60, "position_z": 51, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:50.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:50.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 53, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:51.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:51.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -50, "position_z": 60, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:52.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:52.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:52.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:52.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -50, "position_z": 60, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:53.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:53.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:55.000	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-05 06:47:55.000	event	activity	[{"track_id": 9, "event_since": 1777934875013, "track_count": 2, "event_status": "instant", "lie_duration": 0, "walk_distance": 1, "walk_duration": 6, "stand_duration": 22, "multi_person_duration": 4}]
2026-05-05 06:47:55.000	event	ExitRoom	[{"event_since": 1777934875240, "event_status": "start"}]
2026-05-05 06:47:55.000	monitor	track	[{"pose": 4, "event": 2, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:55.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -50, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:56.000	event	number_people	[{"track_id": 10, "event_since": 1777934876018, "event_status": "start", "number_people": 1}]
2026-05-05 06:47:56.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -60, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:57.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -50, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:58.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": 0, "position_y": -50, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:59.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:59.000	event	number_people	[{"track_id": 10, "event_since": 1777934879715, "event_status": "start", "number_people": 2}]
2026-05-05 06:47:59.000	event	EnterRoom	[{"event_since": 1777934879949, "event_status": "start"}]
2026-05-05 06:47:59.000	monitor	track	[{"pose": 4, "event": 1, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 0, "position_z": 116, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:59.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:59.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 97, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:59.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:00.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 80, "position_y": 0, "position_z": 96, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:00.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:01.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 20, "position_z": 132, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:01.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:02.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 40, "position_z": 38, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:02.000	monitor	track	[{"pose": 4, "area_id": 255, "track_id": 1, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:48:03.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 90, "position_y": 40, "position_z": 0, "track_count": 2, "remaining_time": 0, "track_confidence": 80}]
