mdt	device_uid	topic_type	category	data_value
2026-05-04 00:05:01.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:02.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:03.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:04.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:05.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:06.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:07.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:08.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:09.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:10.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 91, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:11.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:12.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
