2026-06-30 08:05:34.211 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:35.220 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:36.217 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -170, "position_y": 470, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:37.213 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -170, "position_y": 470, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:38.220 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -170, "position_y": 490, "position_z": 60, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:39.215 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:40.110 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:41.110 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:42.111 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:43.115 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:44.112 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:45.121 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 500, "position_z": 81, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:46.123 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:47.118 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -130, "position_y": 510, "position_z": 98, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:48.118 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:49.119 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:50.129 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -150, "position_y": 500, "position_z": 80, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:51.120 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -160, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:52.017 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -130, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:53.017 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 500, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:54.019 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 520, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:55.021 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 470, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:56.016 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -150, "position_y": 460, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:57.018 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -150, "position_y": 470, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:58.030 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -150, "position_y": 470, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:59.019 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -140, "position_y": 470, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:06:00.020 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 510, "position_z": 76, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:06:01.025 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -100, "position_y": 510, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:06:02.023 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -120, "position_y": 520, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:06:03.024 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 490, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
